	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	211	4281	0	0	16	0
ClusterID:2	16	30	0	6	6	0
ClusterID:3	41	54	1	0	62	65
ClusterID:4	1	0	0	0	0	0
ClusterID:5	1	0	0	0	0	0
ClusterID:6	122	122	0	0	0	0
ClusterID:7	486	4651	0	8	17600	0
ClusterID:8	93	123	1	0	435	0
ClusterID:9	300	729	78	15	5577	10
ClusterID:10	176	774	1	1	1200	0
ClusterID:11	521	5011	3	1	12470	0
ClusterID:12	112	159	3	184	41	0
ClusterID:13	1	0	0	0	0	0
ClusterID:14	37	65	0	0	6	0
ClusterID:15	379	2073	6	5	7260	0
ClusterID:16	150	793	0	0	340	0
ClusterID:17	1	0	0	0	0	0
ClusterID:18	456	11698	3	10	17596	0
ClusterID:19	4	2	1	0	0	0
ClusterID:20	103	257	1	1	269	383
ClusterID:21	25	34	0	0	3	0
ClusterID:22	14	11	0	3	0	0
ClusterID:23	433	2069	36	16	6659	0
ClusterID:24	52	263	0	1	231	0
ClusterID:25	180	2495	3	1	34	1
ClusterID:26	42	41	0	0	3	0
ClusterID:27	104	98	9	1	364	1408
ClusterID:28	57	61	0	3	0	0
ClusterID:29	56	127	6	0	138	0
ClusterID:30	16	23	1	0	11	31
ClusterID:31	210	275	28	11	1404	2863
ClusterID:32	1	0	0	0	0	0
ClusterID:33	45	53	1	0	76	0
ClusterID:34	264	1317	1	1	4226	0
ClusterID:35	121	117	91	5	1539	0
ClusterID:36	8	13	1	0	1	0
ClusterID:37	39	26	10	3	270	0
ClusterID:38	71	236	3	1	19	0
ClusterID:39	54	62	1	1	213	0
ClusterID:40	176	928	0	0	21	0
ClusterID:41	41	113	0	0	0	0
ClusterID:42	173	427	0	0	6180	0
ClusterID:43	108	328	0	6	405	0
ClusterID:44	182	1613	55	0	1160	0
ClusterID:45	357	887	10	653	2076	3131
ClusterID:46	111	115	0	0	0	0
ClusterID:47	343	565	28	0	43983	45
ClusterID:48	114	529	0	0	34	0
ClusterID:49	39	37	1	0	117	0
ClusterID:50	240	249	0	0	0	0
ClusterID:51	554	3540	0	4	41482	0
ClusterID:52	96	143	6	0	566	0
ClusterID:53	111	207	21	0	1074	0
ClusterID:54	312	758	0	0	18447	0
ClusterID:55	55	73	0	0	21	0
ClusterID:56	39	68	10	0	25	10
ClusterID:57	373	2827	0	1	9888	0
ClusterID:58	92	145	0	0	169	268
ClusterID:59	200	276	49	1035	1552	0
ClusterID:60	17	24	3	0	3	0
ClusterID:61	80	296	0	1	170	0
ClusterID:62	123	152	7	69	228	2137
ClusterID:63	64	38	6	387	110	4
ClusterID:64	206	390	7	11	1640	3078
ClusterID:65	6	5	0	0	0	0
ClusterID:66	9	13	0	0	1	0
ClusterID:67	658	1945	14	68	20056	2
ClusterID:68	290	9897	3	0	4450	15
ClusterID:69	53	164	0	0	3	0
ClusterID:70	72	71	78	2	147	813
ClusterID:71	25	13	1	0	18	45
ClusterID:72	19	22	0	0	0	0
ClusterID:73	692	4697	3	2	2245	1781
ClusterID:74	25	35	0	0	0	0
ClusterID:75	243	1648	1	8	5443	3
ClusterID:76	101	193	1	0	433	0
ClusterID:77	54	22	1	1	62	194
ClusterID:78	176	680	2	4	2178	0
ClusterID:79	1	0	0	0	0	0
ClusterID:80	90	86	6	4	2018	0
ClusterID:81	44	80	0	0	10	0
ClusterID:82	1	0	0	0	0	0
ClusterID:83	7	10	0	0	0	0
ClusterID:84	535	3462	6	1	3112	3873
ClusterID:85	13	16	3	1	6	0
ClusterID:86	477	1507	0	28	60382	0
ClusterID:87	89	187	1	1	611	0
ClusterID:88	450	4561	3	2	28147	0
ClusterID:89	23	29	0	0	0	0
ClusterID:90	76	251	1	0	0	0
ClusterID:91	96	99	1	18	1132	0
ClusterID:92	252	566	1	11	6523	0
ClusterID:93	265	170	129	22	4668	1512
ClusterID:94	437	815	47	27	35490	49
ClusterID:95	132	301	21	2	324	0
ClusterID:96	26	26	10	0	10	0
ClusterID:97	1	0	0	0	0	0
ClusterID:98	33	32	0	0	0	0
ClusterID:99	4	3	0	0	0	0
ClusterID:100	61	437	0	0	309	0
ClusterID:101	193	162	8	24	342	1382
ClusterID:102	53	179	10	0	11	0
ClusterID:103	73	25	0	1	1349	39
ClusterID:104	179	730	0	0	5532	0
ClusterID:105	180	190	0	0	4	0
ClusterID:106	50	19	1	4	222	198
ClusterID:107	26	26	0	0	0	0
ClusterID:108	29	34	1	0	10	0
ClusterID:109	174	158	6	0	92	0
ClusterID:110	23	32	0	0	21	3
ClusterID:111	1	0	0	0	0	0
ClusterID:112	89	452	10	15	21	0
ClusterID:113	22	21	0	0	0	0
ClusterID:114	334	4711	0	1	2390	0
ClusterID:115	180	167	6	103	269	856
ClusterID:116	38	37	0	0	0	0
ClusterID:117	17	16	0	0	0	0
ClusterID:118	370	4327	0	130	6299	2939
ClusterID:119	72	34	14	196	76	10
ClusterID:120	104	99	3	1	471	539
ClusterID:121	22	21	0	0	1	0
ClusterID:122	167	201	1	1035	532	11
ClusterID:123	80	99	8	3	499	0
ClusterID:124	227	542	7	496	3921	16
ClusterID:125	205	632	4	5	1262	0
ClusterID:126	10	14	4	0	4	0
ClusterID:127	2	0	1	0	1	0
ClusterID:128	13	16	0	0	0	0
ClusterID:129	104	84	5	6	210	663
ClusterID:130	10	7	1	4	4	0
ClusterID:131	9	8	0	0	0	0
ClusterID:132	27	32	0	0	0	0
ClusterID:133	44	65	0	0	11	0
ClusterID:134	2	1	0	0	0	0
ClusterID:135	5	4	0	0	0	0
ClusterID:136	131	654	0	0	168	0
ClusterID:137	261	1099	6	8	515	1192
ClusterID:138	2	1	0	0	0	0
ClusterID:139	97	96	120	3	472	843
ClusterID:140	414	7885	0	0	25325	1367
ClusterID:141	7	6	3	0	3	0
ClusterID:142	222	272	13	23	8504	0
ClusterID:143	26	28	0	0	0	0
ClusterID:144	26	8	120	9	121	0
ClusterID:145	130	87	3	380	470	709
ClusterID:146	38	78	0	0	2	0
ClusterID:147	34	45	0	1	23	0
ClusterID:148	333	1167	10	1830	1320	0
ClusterID:149	1	0	0	0	0	0
ClusterID:150	63	99	1	0	125	0
ClusterID:151	1	0	0	0	0	0
ClusterID:152	474	4208	0	7	5	0
ClusterID:153	1	0	0	0	0	0
ClusterID:154	399	20	0	0	75348	0
ClusterID:155	33	20	0	0	39	72
ClusterID:156	42	0	0	0	385	0
ClusterID:157	9	0	0	0	36	0
ClusterID:158	6	0	0	0	15	0
