	Size	BioGRID_interactions.07-11-2022	KEGG_drugs.09-11-2022	MoNDO_diseases.07-11-2022	Reactome_pathways.07-11-2022	Recon3D_metabolites.07-11-2022
ClusterID:1	2	1	0	0	0	0
ClusterID:2	25	88	0	0	80	0
ClusterID:3	4	4	0	0	0	0
ClusterID:4	52	347	0	0	56	0
ClusterID:5	45	75	0	0	162	0
ClusterID:6	43	84	21	1	42	0
ClusterID:7	1	0	0	0	0	0
ClusterID:8	49	115	0	0	412	0
ClusterID:9	123	2136	0	0	203	0
ClusterID:10	36	31	1	0	166	0
ClusterID:11	139	2625	0	0	5	0
ClusterID:12	1	0	0	0	0	0
ClusterID:13	304	6267	0	0	22146	0
ClusterID:14	136	3569	0	0	62	0
ClusterID:15	41	65	1	0	66	0
ClusterID:16	70	285	1	0	744	0
ClusterID:17	7	6	0	6	1	0
ClusterID:18	13	10	0	0	3	6
ClusterID:19	109	148	3	195	78	0
ClusterID:20	1	0	0	0	0	0
ClusterID:21	29	25	1	0	80	75
ClusterID:22	71	97	0	1	723	133
ClusterID:23	48	46	0	0	6	0
ClusterID:24	36	64	0	0	109	0
ClusterID:25	8	8	0	0	0	0
ClusterID:26	31	41	1	0	46	96
ClusterID:27	46	153	0	0	5	0
ClusterID:28	198	3309	3	0	11108	0
ClusterID:29	88	1039	0	0	310	0
ClusterID:30	8	8	0	0	0	0
ClusterID:31	242	757	0	0	20706	0
ClusterID:32	3	2	0	0	0	0
ClusterID:33	153	779	0	0	4101	0
ClusterID:34	121	63	3	0	984	1003
ClusterID:35	98	377	1	0	1299	0
ClusterID:36	3	2	0	0	0	0
ClusterID:37	4	3	0	0	0	0
ClusterID:38	8	7	0	0	3	0
ClusterID:39	26	35	0	0	3	0
ClusterID:40	289	437	4	38	8666	1
ClusterID:41	25	40	0	2	28	0
ClusterID:42	58	51	0	12	627	0
ClusterID:43	142	319	3	0	3377	16
ClusterID:44	46	172	3	0	12	0
ClusterID:45	225	2143	0	0	5408	0
ClusterID:46	7	6	0	0	1	0
ClusterID:47	27	40	1	1	62	0
ClusterID:48	112	481	7	0	61	171
ClusterID:49	1	0	0	0	0	0
ClusterID:50	28	95	0	0	15	15
ClusterID:51	249	512	0	1	20024	0
ClusterID:52	1	0	0	0	0	0
ClusterID:53	20	29	0	1	45	0
ClusterID:54	174	787	3	0	4183	1
ClusterID:55	2	1	0	0	0	0
ClusterID:56	5	4	0	0	0	0
ClusterID:57	2	1	0	0	0	0
ClusterID:58	18	25	0	15	15	0
ClusterID:59	1	0	0	0	0	0
ClusterID:60	421	1231	0	0	59685	0
ClusterID:61	75	217	0	0	1199	0
ClusterID:62	10	10	0	0	0	0
ClusterID:63	14	8	0	3	56	0
ClusterID:64	109	207	0	0	4278	0
ClusterID:65	18	44	0	0	26	0
ClusterID:66	88	1138	0	0	16	0
ClusterID:67	127	390	36	0	922	1
ClusterID:68	72	255	1	0	455	0
ClusterID:69	221	1868	0	0	81	89
ClusterID:70	108	655	0	0	186	0
ClusterID:71	47	63	1	0	200	0
ClusterID:72	64	122	0	2	562	6
ClusterID:73	9	11	0	0	2	0
ClusterID:74	168	245	1	2	5560	0
ClusterID:75	12	11	6	0	6	0
ClusterID:76	398	3986	0	8	17118	6
ClusterID:77	1	0	0	0	0	0
ClusterID:78	14	13	0	0	0	0
ClusterID:79	29	28	0	0	52	87
ClusterID:80	44	24	0	10	547	0
ClusterID:81	59	63	1	1	381	0
ClusterID:82	2	1	0	0	0	0
ClusterID:83	16	4	0	0	75	0
ClusterID:84	43	93	0	3	328	0
ClusterID:85	10	9	0	0	0	0
ClusterID:86	99	487	0	0	815	0
ClusterID:87	345	3249	0	2	36	0
ClusterID:88	12	11	0	0	0	0
ClusterID:89	56	401	0	0	12	0
ClusterID:90	76	74	1	95	28	1
ClusterID:91	8	7	0	1	0	0
ClusterID:92	117	301	78	0	3039	0
ClusterID:93	49	59	0	0	218	0
ClusterID:94	69	346	0	3	82	0
ClusterID:95	17	21	6	0	31	0
ClusterID:96	76	141	55	0	766	0
ClusterID:97	203	908	0	0	5790	0
ClusterID:98	2	1	1	0	1	0
ClusterID:99	77	86	3	1	294	836
ClusterID:100	54	95	4	0	259	0
ClusterID:101	110	94	0	1	1489	86
ClusterID:102	62	247	1	0	0	0
ClusterID:103	5	4	0	0	0	0
ClusterID:104	51	254	0	0	171	0
ClusterID:105	60	80	3	0	434	0
ClusterID:106	79	176	0	0	322	438
ClusterID:107	6	8	0	0	1	0
ClusterID:108	20	62	0	0	1	0
ClusterID:109	41	23	1	0	19	305
ClusterID:110	125	561	0	0	4559	0
ClusterID:111	2	1	0	0	0	0
ClusterID:112	14	8	0	0	5	13
ClusterID:113	21	20	0	0	0	0
ClusterID:114	23	7	1	0	106	0
ClusterID:115	6	5	0	0	0	0
ClusterID:116	3	2	0	0	0	0
ClusterID:117	198	7178	0	0	4273	0
ClusterID:118	7	7	0	6	0	0
ClusterID:119	100	129	3	1	879	1265
ClusterID:120	20	19	0	0	0	0
ClusterID:121	18	18	1	0	10	1
ClusterID:122	5	4	0	0	0	0
ClusterID:123	7	6	0	0	0	0
ClusterID:124	19	24	6	0	10	36
ClusterID:125	25	35	28	0	22	0
ClusterID:126	81	134	0	15	1043	0
ClusterID:127	125	236	21	0	1337	0
ClusterID:128	10	15	0	0	3	0
ClusterID:129	9	8	0	0	0	0
ClusterID:130	89	140	6	0	304	0
ClusterID:131	44	90	10	0	55	0
ClusterID:132	3	2	0	0	0	0
ClusterID:133	65	86	6	0	195	451
